symbol,ActivePremium,Alpha,AnnualizedAlpha,Beta,Beta-,Beta+,Correlation,Correlationp-value,InformationRatio,R-squared,TrackingError,TreynorRatio
ATA.TO,1.251,0.0029,1.0799,0.8383,0.7452,0.4692,0.3464,9e-4,3.8699,0.12,0.3233,2.0401
ACB.TO,-0.8608,-0.0019,-0.3856,0.236,-0.0199,2.2561,0.0638,0.5526,-1.6099,0.0041,0.5347,-1.6818
BTO.TO,-0.3291,5e-4,0.122,0.1709,-0.1126,-0.0033,0.0653,0.5435,-0.8447,0.0043,0.3896,0.6434
BDGI.TO,-0.6568,-0.0015,-0.319,0.4906,-0.2553,1.1008,0.2524,0.017,-2.3618,0.0637,0.2781,-0.4606
BLDP.TO,-0.7339,-0.0014,-0.2932,0.5133,1.2512,1.0862,0.1196,0.2642,-1.2046,0.0143,0.6093,-0.5946
BMO.TO,-0.1065,6e-4,0.1545,0.418,0.5577,0.281,0.4315,0,-0.7097,0.1862,0.15,0.8192
BNS.TO,-0.32,0,0.0125,0.2986,0.4833,0.3099,0.3677,4e-4,-2.1715,0.1352,0.1474,0.4263
ABX.TO,-0.5923,-7e-4,-0.1616,0.1247,-0.3077,0.3644,0.0738,0.4918,-2.1994,0.0054,0.2693,-1.0073
BHC.TO,-0.6948,-0.0015,-0.3228,0.479,0.953,0.4532,0.1738,0.1034,-1.7714,0.0302,0.3922,-0.5015
BCE.TO,-0.2837,4e-4,0.0953,0.1665,0.3081,0.0564,0.2874,0.0063,-1.9777,0.0826,0.1435,0.9656
BIR.TO,0.7536,0.0022,0.7521,0.8133,2.0725,1.032,0.2867,0.0065,1.941,0.0822,0.3882,1.3955
BB.TO,-0.7561,-0.0023,-0.4456,0.9402,0.993,2.087,0.2512,0.0176,-1.4713,0.0631,0.5139,-0.2885
BEI-UN.TO,0.7104,0.0025,0.884,0.3982,0.7043,0.3755,0.3204,0.0022,3.7739,0.1026,0.1882,2.9319
BBD-B.TO,1.038,0.0033,1.3113,0.4759,0.9779,0.3913,0.1447,0.176,2.1763,0.0209,0.477,4.1853
BLX.TO,-0.5057,-1e-4,-0.0315,-0.0054,0.1657,-0.0487,-0.0033,0.9756,-1.8405,0,0.2747,14.0953
BYD.TO,-0.268,3e-4,0.0712,0.2968,-0.0807,0.6506,0.2265,0.0328,-1.2762,0.0513,0.21,0.4829
BAM-A.TO,0.2407,0.0012,0.3384,0.6644,0.9853,0.3609,0.4682,0,1.2929,0.2192,0.1862,0.9983
BBU-UN.TO,-0.3621,-6e-4,-0.1362,0.6737,0.722,0.9025,0.4005,1e-4,-1.5756,0.1604,0.2298,0.3308
BIP-UN.TO,-0.1776,7e-4,0.1858,0.1977,0.36870000000000003,-0.0542,0.2321,0.0286,-1.0765,0.053900000000000003,0.165,1.3381
BEP-UN.TO,-0.4311,-2e-4,-0.039,0.2026,0.591,0.1891,0.1369,0.2008,-1.8122,0.0187,0.2379,0.0369
DOO.TO,0.0137,6e-4,0.1643,0.7596,1.4961,1.0359,0.3057,0.0036,0.0403,0.0934,0.3389,0.5632
CAE.TO,-0.2324,3e-4,0.0674,0.4485,0.745,1.152,0.2205,0.0378,-0.7957,0.0486,0.2921,0.5362
CCO.TO,1.037,0.0036,1.4693,0.343,1.103,0.5568,0.0964,0.3686,2.0309,0.0093,0.5106,4.5169
CF.TO,0.0437,6e-4,0.171,0.7476,1.6278,0.1226,0.363,5e-4,0.1593,0.1318,0.2746,0.7002
GOOS.TO,-0.0314,0.001,0.2777,0.6057,0.7924,1.4805,0.1692,0.113,-0.0623,0.0286,0.5041,0.6688
CAR-UN.TO,-0.3488,0,0.0086,0.2575,0.5391,0.2803,0.2247,0.0343,-1.8327,0.0505,0.1903,0.4664
CM.TO,-0.2814,1e-4,0.0281,0.35,0.7203,0.1665,0.4005,1e-4,-1.9099,0.1604,0.1474,0.479
CNR.TO,0.4221,0.0022,0.7611,0.2228,0.5426,0.4242,0.1397,0.1917,1.6787,0.0195,0.2514,3.7487
CNQ.TO,0.1439,0.001,0.2904,0.6593,0.606,1.4902,0.3266,0.0018,0.5234,0.1067,0.275,1.0234
CP.TO,-0.4208,-5e-4,-0.1282,0.5019,0.4642,0.4491,0.3017,0.0041,-1.7761,0.0911,0.2369,0.0367
CTC-A.TO,-0.5519,-0.0013,-0.2705,0.5732,0.5384,0.6876,0.4916,0,-3.5019,0.2416,0.1576,-0.1874
CU.TO,-0.3301,4e-4,0.1101,0.0282,0.0756,0.1811,0.0396,0.7123,-1.9313,0.0016,0.1709,4.8294
CWB.TO,0.1289,0.0012,0.3648,0.4185,0.5377,0.4782,0.3403,0.0011,0.6986,0.1158,0.1844,1.3857
CFP.TO,-0.6152,-0.0014,-0.299,0.6386,0.7869,0.6911,0.2383,0.0245,-1.6463,0.0568,0.3737,-0.2837
WEED.TO,-1.2398,-0.007,-0.8303,0.9,1.5523,1.8411,0.2371,0.0253,-2.3695,0.0562,0.5232,-0.8761
CPX.TO,-0.4188,1e-4,0.0149,0.0629,0.0994,0.2224,0.0594,0.5805,-2.0845,0.0035,0.2009,0.5357
CS.TO,-0.719,-0.0024,-0.4608,1.1543,1.3376,2.425,0.3113,0.003,-1.4369,0.0969,0.5004,-0.2273
CJT.TO,-0.4394,-9e-4,-0.1941,0.6828,0.3279,0.9715,0.3607,5e-4,-1.7198,0.1301,0.2555,0
CAS.TO,-0.6685,-0.0015,-0.3222,0.441,0.4867,0.658,0.2581,0.0146,-2.5582,0.0666,0.2613,-0.1769
CCL-B.TO,-0.3426,-3e-4,-0.0728,0.4927,0.8134,0.339,0.4405,0,-2.1106,0.194,0.1623,0.1716
CLS.TO,1.1315,0.0029,1.089,0.8275,1.0378,1.9643,0.2511,0.0176,2.4878,0.0631,0.4548,1.7966
CVE.TO,0.5985,0.0022,0.7322,0.6608,0.678,1.9693,0.2279,0.0317,1.4808,0.0519,0.4041,1.8256
CG.TO,-0.1946,0.001,0.278,0.1411,-0.0822,-0.1185,0.0519,0.6291,-0.4811,0.0027,0.4046,1.6859
GIB-A.TO,-0.4222,-7e-4,-0.1615,0.5669,0.5467,0.5448,0.4652,0,-2.5518,0.2164,0.1654,0.0598
CSH-UN.TO,-0.615,-0.0014,-0.2898,0.4525,0.8081,0.0244,0.3806,2e-4,-3.5238,0.1448,0.1745,-0.3454
CHP-UN.TO,-0.205,4e-4,0.1176,0.2987,0.5996,-0.0067,0.3308,0.0015,-1.3037,0.1094,0.1572,0.8388
CIX.TO,0.6442,0.0022,0.7446,0.5328,0.9147,0.1897,0.3698,4e-4,3.2029,0.1367,0.2011,2.1494
CCA.TO,-0.7417,-0.0015,-0.3222,0.1197,-0.0861,0.2642,0.1493,0.1624,-4.3774,0.0223,0.1694,-2.4921
CIGI.TO,0.6528,0.0026,0.9198,0.2911,0.4101,-0.0137,0.2016,0.0582,2.8898,0.0406,0.2259,3.6954
CUF-UN.TO,-0.2804,-0,-0.0071,0.5115,1.087,0.0798,0.2761,0.0088,-1.0708,0.0763,0.2618,0.4097
CSU.TO,0.0169,8e-4,0.2343,0.4863,0.5089,0.5085,0.4098,1e-4,0.0995,0.1679,0.1699,1.0476
CTS.TO,-0.5145,-0.0017,-0.3554,1.2589,2.4485,0.3349,0.384,2e-4,-1.1896,0.1474,0.4325,-0.0742
CJR-B.TO,-0.7039,-0.0018,-0.3626,0.4736,0.698,0.4677,0.2874,0.0063,-2.9816,0.0826,0.2361,-0.5097
CPG.TO,-0.3601,-2e-4,-0.0601,0.7683,1.3132,1.9358,0.1998,0.0605,-0.6724,0.0399,0.5356,0.1908
CRR-UN.TO,-0.2491,4e-4,0.0974,0.2529,0.2063,0.208,0.271,0.0102,-1.4994,0.0734,0.1661,0.8377
CRON.TO,-1.1598,-0.0055,-0.7488,0.8288,0.775,1.4604,0.1912,0.0727,-1.9203,0.0365,0.604,-0.8501
CRT-UN.TO,-0.078,8e-4,0.2236,0.317,0.6849,0.1597,0.349,8e-4,-0.5019,0.1218,0.1554,1.2057
DML.TO,1.958,0.0044,2.0443,1.0734,2.2705,1.9636,0.1962,0.0654,2.5729,0.0385,0.761,2.3138
DSG.TO,0.3931,0.002,0.6668,0.3142,0.449,0.2644,0.2206,0.0378,1.7733,0.0487,0.2217,2.5778
DCBO.TO,0.1977,0.001,0.2798,0.9523,1.2376,0.0523,0.2888,0.0061,0.4402,0.0834,0.4491,0.6381
DOL.TO,-0.3801,-3e-4,-0.0714,0.3943,0.3268,0.5289,0.3718,3e-4,-2.2932,0.1382,0.1658,0.145
DIR-UN.TO,-0.0763,0.0011,0.3109,0.1437,0.455,-0.4021,0.1423,0.1835,-0.4079,0.0202,0.187,2.7151
D-UN.TO,-0.2755,2e-4,0.0398,0.341,0.3801,0.4932,0.3327,0.0014,-1.6597,0.1107,0.166,0.5832
DPM.TO,-0.0097,0.0012,0.3575,0.2859,0.2513,-0.6572,0.1256,0.241,-0.0288,0.0158,0.3374,1.4333
DND.TO,-0.8037,-0.0028,-0.5063,0.8268,0.6776,1.0584,0.3688,4e-4,-2.7032,0.136,0.2973,-0.4343
